x_g,y_g,z_g,x_dps,y_dps,z_dps,orientation
270,-0.0348,0.0342,0.9931,0.14,0.07,0.2537,stationary_z_up
271,-0.0351,0.0342,0.9945,0.0787,0.1488,0.2013,stationary_z_up
272,-0.0339,0.0345,0.9939,0.175,0.035,0.2537,stationary_z_up
273,-0.034,0.0329,0.994,0.0875,-0.0175,0.2275,stationary_z_up
274,-0.0365,0.0337,0.9941,0.175,0.1488,0.1312,stationary_z_up
275,-0.0361,0.0344,0.9938,0.1838,0.07,0.2713,stationary_z_up
276,-0.0347,0.0341,0.9953,0.1575,0.1488,0.2275,stationary_z_up
277,-0.0334,0.035,0.9948,0.1488,0.0962,0.21,stationary_z_up
278,-0.0363,0.0341,0.9919,0.105,0.0088,0.245,stationary_z_up
279,-0.0349,0.0346,0.9945,0.14,-0.0088,0.2013,stationary_z_up
280,-0.0354,0.0348,0.9947,0.0962,-0.0262,0.1838,stationary_z_up
281,-0.0354,0.0344,0.9916,0.1663,0.0525,0.2887,stationary_z_up
282,-0.0366,0.0345,0.9947,0.1838,0.0088,0.245,stationary_z_up
283,-0.0346,0.034,0.9934,0.2013,0.0613,0.28,stationary_z_up
284,-0.0354,0.0332,0.9938,0.2013,0.07,0.245,stationary_z_up
285,-0.0364,0.0331,0.9939,0.14,0.0175,0.3325,stationary_z_up
286,-0.0359,0.0346,0.9919,0.0962,0.1138,0.2275,stationary_z_up
287,-0.0354,0.0344,0.9945,0.21,0.0962,0.21,stationary_z_up
288,-0.0346,0.0332,0.9935,0.105,0.07,0.2275,stationary_z_up
289,-0.0359,0.0339,0.9934,0.14,0.1138,0.2713,stationary_z_up
290,-0.035,0.0337,0.9938,0.1488,-0.0088,0.1925,stationary_z_up
291,-0.0363,0.0345,0.9938,0.1488,0.07,0.2362,stationary_z_up
292,-0.0359,0.0345,0.9938,0.21,0.105,0.2275,stationary_z_up
293,-0.0358,0.0346,0.9945,0.14,0.07,0.2013,stationary_z_up
294,-0.0351,0.0337,0.9938,0.245,0.0437,0.2537,stationary_z_up
295,-0.0346,0.0336,0.9948,0.1925,0.0175,0.2188,stationary_z_up
296,-0.0358,0.0345,0.993,0.0787,-0.0175,0.2275,stationary_z_up
297,-0.0346,0.0342,0.9928,0.14,-0.0175,0.2013,stationary_z_up
298,-0.0362,0.0334,0.9924,0.1925,0.0437,0.1838,stationary_z_up
299,-0.0353,0.0343,0.9946,0.1575,-0.0262,0.2362,stationary_z_up
300,-0.0356,0.0337,0.9943,0.1138,0.0962,0.21,stationary_z_up
301,-0.0356,0.0337,0.9941,0.1312,-0.0088,0.1575,stationary_z_up
302,-0.0359,0.0336,0.9945,0.2713,0.0437,0.28,stationary_z_up
303,-0.0348,0.0356,0.9942,0.1312,0.1488,0.2013,stationary_z_up
304,-0.0335,0.0332,0.9948,0.1488,0.105,0.28,stationary_z_up
305,-0.0342,0.0337,0.9944,0.1663,0.0088,0.2887,stationary_z_up
306,-0.0351,0.0342,0.9933,0.14,0.0962,0.245,stationary_z_up
307,-0.0354,0.0353,0.9933,0.21,-0.0613,0.2013,stationary_z_up
308,-0.0349,0.0342,0.9943,0.0962,0.0175,0.245,stationary_z_up
309,-0.0361,0.0351,0.9941,0.105,0.0525,0.2188,stationary_z_up
310,-0.0361,0.0342,0.9935,0.1575,0.1575,0.2625,stationary_z_up
311,-0.0368,0.0335,0.9934,0.2275,-0.1138,0.2713,stationary_z_up
312,-0.0344,0.0344,0.9946,0.175,0,0.245,stationary_z_up
313,-0.0349,0.0345,0.9941,0.2188,0.0175,0.2188,stationary_z_up
314,-0.0364,0.0351,0.9928,0.2188,0.14,0.2537,stationary_z_up
315,-0.0354,0.0344,0.9945,0.0525,0.07,0.1575,stationary_z_up
316,-0.0364,0.0349,0.9928,0.175,0.0175,0.2537,stationary_z_up
317,-0.0349,0.0353,0.9945,0.1225,0.0962,0.3237,stationary_z_up
318,-0.0346,0.035,0.995,0.35,0.0437,0.2713,stationary_z_up
319,-0.0344,0.0351,0.9933,0.2537,0.0962,0.2625,stationary_z_up
320,-0.0351,0.0344,0.9947,0.1575,0.0088,0.1925,stationary_z_up
321,-0.0344,0.0344,0.9948,0.245,-0.0437,0.2362,stationary_z_up
322,-0.0356,0.0342,0.9943,0.105,0.0175,0.21,stationary_z_up
323,-0.0361,0.0342,0.9933,0.1663,0.0875,0.2362,stationary_z_up
324,-0.0363,0.0344,0.9942,0.1575,0.105,0.1838,stationary_z_up
325,-0.0356,0.0345,0.9938,0.1312,-0.0175,0.2537,stationary_z_up
326,-0.0351,0.0342,0.9947,0.2625,0.0525,0.245,stationary_z_up
327,-0.0351,0.034,0.9926,0.1663,0.0962,0.175,stationary_z_up
328,-0.0347,0.0342,0.9936,0.21,0.0525,0.2713,stationary_z_up
329,-0.0353,0.0353,0.9945,0.1225,0.0613,0.2275,stationary_z_up
330,-0.035,0.0335,0.9942,0.1312,0.0962,0.1925,stationary_z_up
331,-0.0346,0.0337,0.9953,0.1663,0,0.21,stationary_z_up
332,-0.0354,0.0335,0.9933,0.2625,0.1312,0.1663,stationary_z_up
333,-0.035,0.0332,0.9936,0.1925,0.0437,0.2188,stationary_z_up
334,-0.0356,0.0334,0.9939,0.0787,0.0088,0.245,stationary_z_up
335,-0.0344,0.0346,0.9929,0.2537,0.1225,0.2362,stationary_z_up
336,-0.0361,0.0339,0.9923,0.2013,0.0962,0.2362,stationary_z_up
337,-0.0356,0.0339,0.9933,0.21,0.0787,0.245,stationary_z_up
338,-0.0352,0.0332,0.9948,0.2362,0.105,0.2188,stationary_z_up
339,-0.0351,0.0346,0.9933,0.2275,0.0175,0.245,stationary_z_up
340,-0.0352,0.0337,0.9948,0.1138,0.035,0.2537,stationary_z_up
341,-0.0351,0.0335,0.9947,0.1575,0.0613,0.2013,stationary_z_up
342,-0.0349,0.0352,0.9936,0.14,0.0962,0.2887,stationary_z_up
